slab_tau,slab_injection_model,electron_kTe_mec2,max_scatters,source_run_tag,events_completed,scattered_events,scatter_fraction,escaped_up_total_fraction,escaped_down_total_fraction,escaped_up_scattered,escaped_down_scattered,mean_scatter_count,mean_scattered_energy_mec2,mean_photon_energy_ratio_erf,mean_energy_amplification,downward_scattered_escape_fraction,mean_up_scattered_energy_mec2,mean_down_scattered_energy_mec2,up_scattered_hard_fraction_gt_2x_incident,down_scattered_hard_fraction_gt_2x_incident,mean_mu_up_scattered,mean_mu_down_scattered,mu_up_down_asymmetry,bookkeeping_consistent,energy_hist_overflow_fraction,energy_hist_overflow_acceptable,incident_photon_energy_mec2,events_requested,seed
1.0000e-02,beam,1.0000e-01,256,beam_tau_000_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_0000e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041201_eb_256_mb_180,50000,480,9.6000e-03,9.9502e-01,4.9800e-03,231,249,9.7400e-03,1.5010e-05,9.9999e-01,1.5010e+00,4.9800e-03,1.2303e-05,1.7522e-05,6.9264e-02,3.1325e-01,5.2424e-01,-5.1787e-01,1.0421e+00,true,0.0000e+00,true,1e-05,50000,2028041201
1.0723e-02,beam,1.0000e-01,256,beam_tau_001_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_0723e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041202_eb_256_mb_180,50000,557,1.1140e-02,9.9386e-01,6.1400e-03,250,307,1.1380e-02,1.5551e-05,9.9999e-01,1.5551e+00,6.1400e-03,1.1877e-05,1.8543e-05,5.6000e-02,3.2899e-01,5.6327e-01,-5.2863e-01,1.0919e+00,true,0.0000e+00,true,1e-05,50000,2028041202
1.1498e-02,beam,1.0000e-01,256,beam_tau_002_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_1498e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041203_eb_256_mb_180,50000,581,1.1620e-02,9.9376e-01,6.2400e-03,269,312,1.1920e-02,1.5061e-05,9.9999e-01,1.5061e+00,6.2400e-03,1.2430e-05,1.7329e-05,7.0632e-02,3.0769e-01,5.1169e-01,-5.1870e-01,1.0304e+00,true,0.0000e+00,true,1e-05,50000,2028041203
1.2328e-02,beam,1.0000e-01,256,beam_tau_003_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_2328e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041204_eb_256_mb_180,50000,626,1.2520e-02,9.9326e-01,6.7400e-03,289,337,1.2960e-02,1.5481e-05,9.9999e-01,1.5481e+00,6.7400e-03,1.2674e-05,1.7888e-05,6.9204e-02,3.2344e-01,4.9845e-01,-5.4148e-01,1.0399e+00,true,0.0000e+00,true,1e-05,50000,2028041204
1.3219e-02,beam,1.0000e-01,256,beam_tau_004_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_3219e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041205_eb_256_mb_180,50000,694,1.3880e-02,9.9272e-01,7.2800e-03,330,364,1.4460e-02,1.5288e-05,9.9999e-01,1.5288e+00,7.2800e-03,1.2881e-05,1.7470e-05,9.0909e-02,2.6923e-01,5.3407e-01,-5.2838e-01,1.0624e+00,true,0.0000e+00,true,1e-05,50000,2028041205
1.4175e-02,beam,1.0000e-01,256,beam_tau_005_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_4175e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041206_eb_256_mb_180,50000,715,1.4300e-02,9.9228e-01,7.7200e-03,329,386,1.4680e-02,1.5579e-05,9.9999e-01,1.5579e+00,7.7200e-03,1.2584e-05,1.8132e-05,5.4711e-02,3.0570e-01,5.4653e-01,-5.5254e-01,1.0991e+00,true,0.0000e+00,true,1e-05,50000,2028041206
1.5199e-02,beam,1.0000e-01,256,beam_tau_006_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_5199e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041207_eb_256_mb_180,50000,764,1.5280e-02,9.9182e-01,8.1800e-03,355,409,1.5800e-02,1.4760e-05,9.9999e-01,1.4760e+00,8.1800e-03,1.2318e-05,1.6878e-05,7.3239e-02,2.9095e-01,5.1944e-01,-5.3005e-01,1.0495e+00,true,0.0000e+00,true,1e-05,50000,2028041207
1.6298e-02,beam,1.0000e-01,256,beam_tau_007_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_6298e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041208_eb_256_mb_180,50000,828,1.6560e-02,9.9114e-01,8.8600e-03,385,443,1.7040e-02,1.5842e-05,9.9999e-01,1.5842e+00,8.8600e-03,1.2558e-05,1.8696e-05,5.9740e-02,3.2054e-01,5.2463e-01,-5.4436e-01,1.0690e+00,true,0.0000e+00,true,1e-05,50000,2028041208
1.7475e-02,beam,1.0000e-01,256,beam_tau_008_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_7475e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041209_eb_256_mb_180,50000,816,1.6320e-02,9.9068e-01,9.3200e-03,350,466,1.6980e-02,1.5517e-05,9.9999e-01,1.5517e+00,9.3200e-03,1.2625e-05,1.7689e-05,8.0000e-02,3.0258e-01,5.5171e-01,-5.4305e-01,1.0948e+00,true,0.0000e+00,true,1e-05,50000,2028041209
1.8738e-02,beam,1.0000e-01,256,beam_tau_009_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_8738e_02_si_beam_ms_256_tc_thermal_kn_seed_2028041210_eb_256_mb_180,50000,924,1.8480e-02,9.9026e-01,9.7400e-03,437,487,1.9200e-02,1.5175e-05,9.9999e-01,1.5175e+00,9.7400e-03,1.1980e-05,1.8041e-05,5.0343e-02,3.3676e-01,5.3279e-01,-5.4179e-01,1.0746e+00,true,0.0000e+00,true,1e-05,50000,2028041210
