model,d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method,max_scatter,last_scatter_order,last_difmax,exact_angles,max_tau_grid,max_frequency_grid,seed_bins
compPSc,0.0,0.020000000000000004,10.220000000000002,2.9467161810344304,9.43516593638566e+21,0.612676071151532,0.9809681398023956,2.0410103769372516,2.0402298357280544,1.2284715565741575,2.5063643220658807,0.0,1.2284715565741575,4.1090933463272443e-10,3.658011717294649e+34,0.00038250197393015125,global,2000,113,0.0028606748460689277,True,60,100,1200
compPSc,0.0,0.022110233502181487,11.29832931961474,2.758402685017372,7.671945997317843e+19,0.6078572457039486,0.9761521758618094,2.056412591760072,2.05640388238261,1.1958666125403214,2.4591847448396575,0.0,1.1958666125403214,5.4426084022934325e-06,3.2034515661107803e+34,4.235237587940662e-06,continuation,2000,104,0.0026957688369226725,True,60,100,1200
compPSc,0.0,0.02444312127604943,12.49043497206126,2.57277120551174,1.0180784278467887e+18,0.6027647037558687,0.9701645740473928,2.073966158954906,2.0737776983475698,1.1613430959447546,2.408367412500154,0.0,1.1613430959447546,0.02686713958970894,2.78473518539868e+34,9.087379257241354e-05,continuation,2000,95,0.0027671034300218145,True,60,100,1200
compPSc,0.0,0.027022155946779643,13.808321688804398,2.390940709647895,2.0942206155122828e+16,0.5975007888724283,0.9627799878129509,2.092684652925047,2.0920474470986616,1.1254006199731124,2.3543914939780004,0.0,1.1254006199731124,54.78809786908115,2.402874473671909e+34,0.0003045384106219876,continuation,2000,87,0.0027541767322507497,True,60,100,1200
compPSc,0.0,0.029873308885782997,15.265260840635111,2.2139131886284855,638906125502277.1,0.5921648086570432,0.9537542605840095,2.1115228128559447,2.1108988270256144,1.088487501539941,2.2976869902327026,0.0,1.088487501539941,50416.44778091707,2.0580046276328363e+34,0.0002955582782066006,continuation,2000,80,0.002602627255334394,True,60,100,1200
compPSc,0.0,0.03302529174737275,16.875924082907478,2.0425679299253305,27833034384624.418,0.5868517409164016,0.942831581858097,2.1294099316284347,2.1300098693548315,1.051004853513242,2.238650710723034,0.0,1.051004853513242,22583576.82746659,1.7494995681841098e+34,-0.00028169927285664223,continuation,2000,73,0.0026964013213262293,True,60,100,1200
compPSc,0.0,0.03650984560060392,18.656531101908605,1.8803855908219058,1638419772679.688,0.5816248995303802,0.9299945362630768,2.149791547128713,2.149151456564676,1.0135221220459918,2.1782125448556644,0.0,1.0135221220459918,5514741204.824113,1.480387800878707e+34,0.0002977897442311789,continuation,2000,67,0.00262147981837476,True,60,100,1200
compPSc,0.0,0.040362060567897325,20.625012950195533,1.7248107923008649,128586736393.00659,0.5765941244566426,0.9148181740841957,2.1671523207949326,2.167902770736601,0.9762001875604367,2.11630709140586,0.0,0.9762001875604367,751893237392.1052,1.2432215408158124e+34,-0.00034622395024730917,continuation,2000,61,0.0028184188979577013,True,60,100,1200
compPSc,0.0,0.04462072918927006,22.801192615717003,1.578666858079942,12829649046.491621,0.5718067278220744,0.8973852983289122,2.1851424371356294,2.1860533274259666,0.9395655427846906,2.0539403811392574,0.0,0.9395655427846906,63130334961692.805,1.039124648430168e+34,-0.00041676939335769813,continuation,2000,56,0.0027502699866947906,True,60,100,1200
compPSc,0.0,0.04932873707061831,25.206984643085956,1.4417634339366032,1585902521.1242394,0.5673223587119987,0.8776078876770161,2.2030756245499066,2.203332868526274,0.903895148097086,1.991581889503734,0.0,0.903895148097086,3436762358269548.5,8.643755664387814e+33,-0.0001167590236193249,continuation,2000,52,0.0023225082271231216,True,60,100,1200
