slab_tau,slab_injection_model,electron_kTe_mec2,max_scatters,source_run_tag,events_completed,scattered_events,scatter_fraction,escaped_up_total_fraction,escaped_down_total_fraction,escaped_up_scattered,escaped_down_scattered,mean_scatter_count,mean_scattered_energy_mec2,mean_photon_energy_ratio_erf,mean_energy_amplification,downward_scattered_escape_fraction,mean_up_scattered_energy_mec2,mean_down_scattered_energy_mec2,up_scattered_hard_fraction_gt_2x_incident,down_scattered_hard_fraction_gt_2x_incident,mean_mu_up_scattered,mean_mu_down_scattered,mu_up_down_asymmetry,bookkeeping_consistent,energy_hist_overflow_fraction,energy_hist_overflow_acceptable,incident_photon_energy_mec2,events_requested,seed
1.0000e-02,lambert,1.0000e-01,256,lambert_tau_000_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_0000e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141201_eb_256_mb_180,50000,970,1.9400e-02,9.9004e-01,9.9600e-03,472,498,1.9860e-02,1.4834e-05,9.9999e-01,1.4834e+00,9.9600e-03,1.2979e-05,1.6592e-05,9.9576e-02,2.7108e-01,3.2233e-01,-3.2481e-01,6.4714e-01,true,0.0000e+00,true,1e-05,50000,2028141201
1.0723e-02,lambert,1.0000e-01,256,lambert_tau_001_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_0723e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141202_eb_256_mb_180,50000,1035,2.0700e-02,9.8912e-01,1.0880e-02,491,544,2.1440e-02,1.5393e-05,9.9999e-01,1.5393e+00,1.0880e-02,1.4227e-05,1.6446e-05,1.3238e-01,2.4816e-01,2.4186e-01,-3.2256e-01,5.6443e-01,true,0.0000e+00,true,1e-05,50000,2028141202
1.1498e-02,lambert,1.0000e-01,256,lambert_tau_002_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_1498e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141203_eb_256_mb_180,50000,1134,2.2680e-02,9.8814e-01,1.1860e-02,541,593,2.3480e-02,1.5594e-05,9.9999e-01,1.5594e+00,1.1860e-02,1.3825e-05,1.7209e-05,1.2939e-01,2.6644e-01,2.4491e-01,-3.1892e-01,5.6383e-01,true,0.0000e+00,true,1e-05,50000,2028141203
1.2328e-02,lambert,1.0000e-01,256,lambert_tau_003_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_2328e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141204_eb_256_mb_180,50000,1194,2.3880e-02,9.8780e-01,1.2200e-02,584,610,2.4880e-02,1.5619e-05,9.9999e-01,1.5619e+00,1.2200e-02,1.4128e-05,1.7046e-05,1.4041e-01,2.6721e-01,2.3363e-01,-3.0901e-01,5.4264e-01,true,0.0000e+00,true,1e-05,50000,2028141204
1.3219e-02,lambert,1.0000e-01,256,lambert_tau_004_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_3219e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141205_eb_256_mb_180,50000,1290,2.5800e-02,9.8720e-01,1.2800e-02,650,640,2.6800e-02,1.5300e-05,9.9999e-01,1.5300e+00,1.2800e-02,1.3717e-05,1.6907e-05,1.3692e-01,2.4688e-01,2.6385e-01,-3.2162e-01,5.8547e-01,true,0.0000e+00,true,1e-05,50000,2028141205
1.4175e-02,lambert,1.0000e-01,256,lambert_tau_005_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_4175e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141206_eb_256_mb_180,50000,1370,2.7400e-02,9.8564e-01,1.4360e-02,652,718,2.8340e-02,1.5367e-05,9.9999e-01,1.5367e+00,1.4360e-02,1.3981e-05,1.6626e-05,1.3344e-01,2.6462e-01,2.7743e-01,-2.9497e-01,5.7240e-01,true,0.0000e+00,true,1e-05,50000,2028141206
1.5199e-02,lambert,1.0000e-01,256,lambert_tau_006_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_5199e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141207_eb_256_mb_180,50000,1465,2.9300e-02,9.8496e-01,1.5040e-02,713,752,3.0600e-02,1.5305e-05,9.9999e-01,1.5305e+00,1.5040e-02,1.3893e-05,1.6643e-05,1.1781e-01,2.3803e-01,2.2581e-01,-2.8405e-01,5.0986e-01,true,0.0000e+00,true,1e-05,50000,2028141207
1.6298e-02,lambert,1.0000e-01,256,lambert_tau_007_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_6298e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141208_eb_256_mb_180,50000,1595,3.1900e-02,9.8408e-01,1.5920e-02,799,796,3.3200e-02,1.4885e-05,9.9999e-01,1.4885e+00,1.5920e-02,1.3415e-05,1.6361e-05,1.2140e-01,2.4623e-01,2.5079e-01,-3.0774e-01,5.5854e-01,true,0.0000e+00,true,1e-05,50000,2028141208
1.7475e-02,lambert,1.0000e-01,256,lambert_tau_008_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_7475e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141209_eb_256_mb_180,50000,1655,3.3100e-02,9.8304e-01,1.6960e-02,807,848,3.4480e-02,1.5291e-05,9.9999e-01,1.5291e+00,1.6960e-02,1.3741e-05,1.6767e-05,1.1772e-01,2.6887e-01,2.5775e-01,-3.1254e-01,5.7029e-01,true,0.0000e+00,true,1e-05,50000,2028141209
1.8738e-02,lambert,1.0000e-01,256,lambert_tau_009_mode_production_slab_thermal_case_gm_slab_em_thermal_pe_1_0000e_05_ge_1_0000e_01_kte_1_0000e_01_sh_1_0000e_00_st_1_8738e_02_si_lambert_ms_256_tc_thermal_kn_seed_2028141210_eb_256_mb_180,50000,1789,3.5780e-02,9.8190e-01,1.8100e-02,884,905,3.7720e-02,1.5287e-05,9.9999e-01,1.5287e+00,1.8100e-02,1.3800e-05,1.6740e-05,1.2896e-01,2.4751e-01,2.4591e-01,-2.8959e-01,5.3550e-01,true,0.0000e+00,true,1e-05,50000,2028141210
