tau_T,A_model_kTe_10,A_model_kTe_15,A_model_kTe_20,A_model_kTe_30,A_model_kTe_50,A_model_kTe_80,A_model_kTe_120,A_model_kTe_200
0.03,0.06036422203479529,0.0630577184955464,0.06589314257353344,0.07200468483777975,0.08604719644400148,0.11234636761699066,0.15956825542364375,0.3137359257529696
0.05,0.09727698989314312,0.10180037083680159,0.1065798396298177,0.11694401424543871,0.14108644402158585,0.18757307281830676,0.27534537178487617,0.5964664473829071
0.08,0.14881655625526324,0.1561320634868716,0.1639026300526146,0.1808991197582696,0.221287010725739,0.3023334055450076,0.4673822544033759,1.1720687156407634
0.13,0.2267624644404831,0.2388503474034343,0.25179688885671186,0.2805058474834061,0.3509677370833582,0.5024932086583594,0.8519078392294475,2.6815678464338575
0.2,0.32314626143131553,0.34215841490558474,0.3627484629445704,0.4092696853046417,0.5287688736803403,0.8127624314387197,1.5840505981781339,6.453675865629334
0.32,0.4626019594679558,0.49417107471234,0.529018102848259,0.6103921628956277,0.8376641830266027,1.4849499609016636,3.7015068703881933,19.883192920962966
0.5,0.6282619204685328,0.6805145623760842,0.7399850730049442,0.8867324607118919,1.3607673493696908,3.131260844757348,10.617117602617473,66.24695899309263
0.8,0.8316985183436982,0.9247347359845746,1.037145699644527,1.3479250635894335,2.683726184928596,9.678491628300062,41.9116675524493,251.31879560883368
1.25,1.049916285401329,1.2269606162235527,1.467719933707926,2.3011018843615085,7.617298537658116,40.36163925237439,174.89399016073682,858.7524754280767
2.0,1.3578471578054665,1.8150245166388639,2.636760520499519,6.7812370864768425,40.08950482649342,213.32205611839305,747.0997080531697,2702.202977557742
3.2,2.3202214702352473,5.113665837742125,12.197061409931777,51.1179233896742,281.6593622459562,1039.7088976335497,2624.6053602270354,6771.554064362316
5.0,37.47995309887029,135.42256835861798,300.9518381593634,783.2967613701846,2062.457915343264,4261.214629043922,7323.43576313703,13381.992668779341
8.0,nan,nan,nan,462318.6292211476,53657.96833165658,29281.059255651973,25303.790442582438,27706.719554748157
10.0,nan,nan,nan,nan,nan,194783.07601590874,66364.63106773442,45313.1173741434
