tau_T,A_model_kTe_10,A_model_kTe_11p0146,A_model_kTe_12p1321,A_model_kTe_13p3631,A_model_kTe_14p7189,A_model_kTe_16p2123,A_model_kTe_17p8572,A_model_kTe_19p6689,A_model_kTe_21p6646,A_model_kTe_23p8626,A_model_kTe_26p2837,A_model_kTe_28p9505,A_model_kTe_31p8878,A_model_kTe_35p1231,A_model_kTe_38p6867,A_model_kTe_42p6119,A_model_kTe_46p9353,A_model_kTe_51p6973,A_model_kTe_56p9425,A_model_kTe_62p7199,A_model_kTe_69p0835,A_model_kTe_76p0927,A_model_kTe_83p813,A_model_kTe_92p3167,A_model_kTe_101p683,A_model_kTe_112,A_model_kTe_123p363,A_model_kTe_135p88,A_model_kTe_149p666,A_model_kTe_164p851,A_model_kTe_181p577,A_model_kTe_200
0.03,0.06036422203479529,0.06089998526720421,0.06149631023134547,0.06216088736961373,0.06290262153096961,0.06373175081605811,0.06466001540715351,0.06570086303850947,0.06686969794598439,0.06818422749868004,0.0696649299168938,0.07133566670847427,0.07322448768572576,0.07536455855550753,0.07779543345160884,0.08056454614996904,0.08372909023394758,0.08735837685289023,0.09153673154736186,0.09636732887523923,0.1019771083932204,0.1085232122153233,0.1162015530859355,0.1252583755419342,0.136005876276874,0.1488436403198538,0.1642883168245079,0.1830148294309184,0.2059142248185365,0.234174436148699,0.2693934516764973,0.3137359257529696
0.03618298899161007,0.07202428511731289,0.07267172026021008,0.07339251311213552,0.07419601858198338,0.07509307740709666,0.0760961657719316,0.077219606615323,0.07847982717792436,0.07989567226975419,0.08148883948672925,0.08328446629925358,0.08531189977436156,0.08760570946496125,0.09020686535652343,0.09316435243123362,0.09653708142993919,0.1003963133573072,0.1048287241160129,0.1099402150580573,0.1158609904548282,0.1227521441229388,0.1308143858244758,0.14029979639495,0.1515278795534683,0.1649075456511948,0.1809676890807713,0.2003999980327443,0.2241191569021879,0.2533478638063699,0.2897372067955205,0.335534744884157,0.3938196452416682
0.04364028974556586,0.08578549414497239,0.08656815570777053,0.08743974409875024,0.08841165642319618,0.08949711234075144,0.09071134362715197,0.0920718602143371,0.09359877502791462,0.09531520085380336,0.09724780041155838,0.09942752825435804,0.1018906049935783,0.1046798011382069,0.1078459457681344,0.1114499930858847,0.1155654954443268,0.120281764363408,0.125707902530872,0.1319778840463004,0.1392573756856961,0.1477527020519984,0.1577228760602631,0.169496015284709,0.1834920527626185,0.2002542786707237,0.220493764332272,0.2451522993087991,0.2754919411703839,0.3132223178744886,0.3606808316015924,0.4210892621848013,0.4989051125740191
0.05263453744848279,0.1019748392249196,0.1029213628212968,0.1039757846116901,0.105152014397894,0.1064662041528071,0.1079369898623227,0.1095858286917272,0.111437411556118,0.1135201696840812,0.1158669750691687,0.1185160851840617,0.1215123859415301,0.1249090327017074,0.1287694012012777,0.1331697592247971,0.1382025038202535,0.1439803339690686,0.1506416279359937,0.1583573178641078,0.1673402024607332,0.1778573615413891,0.1902470480287046,0.2049420618335819,0.2225025084905775,0.2436619555935484,0.2693932864920363,0.3010029511825549,0.3402659965320275,0.3896204799448865,0.4524421189925213,0.5334303452513038,0.6391583519609945
0.06348249630256467,0.1209545507341471,0.1220997935405904,0.1233760909648416,0.1248004542921574,0.1263926625360721,0.1281755733088579,0.1301755532638737,0.1324230061659109,0.1349530248693462,0.1378062907477473,0.1410302870634821,0.1446808992245615,0.1488245325028683,0.1535406622650554,0.158925327469104,0.1650954225055111,0.1721942823575559,0.1803989637287417,0.1899297019441232,0.2010628510635842,0.2141484019890237,0.2296341707759902,0.2480997481352749,0.270304758073962,0.297257761236252,0.3303155979892282,0.3713274173192174,0.4228418543840295,0.4884047748202788,0.5729883872212512,0.6835832306408782,0.8300140679623311
0.0765662154958542,0.1431212264890779,0.1445076818141234,0.1460535117764097,0.1477795698551804,0.1497101392606246,0.15187333578624,0.1543016617773242,0.1570326878526663,0.1601098997633947,0.1635838641530005,0.1675138021364964,0.1719696707425987,0.177034925704541,0.1828098956773417,0.1894164096397316,0.1970035686787198,0.2057553386149749,0.2159005764056434,0.2277262752368769,0.2415958970518559,0.2579745927376802,0.277464567342701,0.3008554668023981,0.3291968624949392,0.3639033706185786,0.4069073955803661,0.4608815799552327,0.5295638603192375,0.6182204421370493,0.7343035245368226,0.8883987516590143,1.095463334589665
0.09234648441385787,0.1689025697120219,0.1705821307196903,0.1724557800042636,0.1745491507747878,0.1768921452549842,0.1795194613017284,0.1824713117032194,0.1857943126391354,0.1895425948293594,0.1937793302987111,0.1985787954246552,0.2040291097099508,0.2102358849239414,0.2173267504944902,0.2254575730418121,0.234820343360218,0.2456536781904647,0.2582568866428708,0.2730088904350977,0.2903947434372433,0.3110427323414416,0.335777243237834,0.3656950897056711,0.4022769977388846,0.4475504645863573,0.5043289094899295,0.5765635632911658,0.6698483194580347,0.79216506997457,0.954904519123127,1.174287789331294,1.473428384117574
0.1113790609653504,0.1987501316224785,0.2007863057664786,0.2030592323943869,0.2056005196977719,0.2084471168656288,0.2116420090016495,0.2152351602979256,0.2192846841682699,0.2238583175344298,0.2290354438357557,0.2349098312163126,0.2415932837221956,0.2492205294529074,0.2579553832379038,0.2679992459615895,0.2796020768139434,0.2930772025413926,0.3088214627471597,0.3273428271026029,0.3492996281631064,0.3755564269742355,0.4072647667633539,0.4459816411749052,0.4938438798855853,0.5538257638276136,0.6301209649243248,0.7286975563000015,0.858119528685221,1.030695926399108,1.264101539048485,1.583690945313356,2.025263935039258
0.1343342445601713,0.2331257804898084,0.2355964956350729,0.2383565663116129,0.2414451128436597,0.2449079776968829,0.2487986519527506,0.2531795256314541,0.2581234470393219,0.2637157034103205,0.2700567369892988,0.2772658304490023,0.285486047887814,0.2948908892934297,0.3056928296429517,0.3181551559274657,0.3326075440713591,0.349467400164198,0.3692693815773271,0.3927066670322176,0.4206904359060731,0.4544360164744994,0.4955892429621164,0.5464141075717868,0.6100712075911627,0.6910339736593539,0.7956991118249136,0.933296799536639,1.117167576692767,1.36667306716227,1.709688352698779,2.186041104741625,2.852457610692773
0.1620204830705645,0.2724793361523789,0.2754805388750161,0.2788362067067894,0.2825949701659816,0.2868139798227568,0.2915601556693694,0.2969118652176042,0.3029610294265396,0.309815821455224,0.3176043686293679,0.3264797932731016,0.3366270158308754,0.3482719851536912,0.3616937484956945,0.3772413008986958,0.3953562155434368,0.4166041606015352,0.4417192784376358,0.4716674607496749,0.5077389533503587,0.5516844461725032,0.605917935029778,0.6738193759948886,0.7601909346115738,0.8719303265084805,1.019044666297593,1.216087408981665,1.484321275057594,1.854589434682371,2.371324225091769,3.098246037027943,4.124432941309107
