tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_11p0146,effective_albedo_ireflect_xi100_kTe_12p1321,effective_albedo_ireflect_xi100_kTe_13p3631,effective_albedo_ireflect_xi100_kTe_14p7189,effective_albedo_ireflect_xi100_kTe_16p2123,effective_albedo_ireflect_xi100_kTe_17p8572,effective_albedo_ireflect_xi100_kTe_19p6689,effective_albedo_ireflect_xi100_kTe_21p6646,effective_albedo_ireflect_xi100_kTe_23p8626,effective_albedo_ireflect_xi100_kTe_26p2837,effective_albedo_ireflect_xi100_kTe_28p9505,effective_albedo_ireflect_xi100_kTe_31p8878,effective_albedo_ireflect_xi100_kTe_35p1231,effective_albedo_ireflect_xi100_kTe_38p6867,effective_albedo_ireflect_xi100_kTe_42p6119,effective_albedo_ireflect_xi100_kTe_46p9353,effective_albedo_ireflect_xi100_kTe_51p6973,effective_albedo_ireflect_xi100_kTe_56p9425,effective_albedo_ireflect_xi100_kTe_62p7199,effective_albedo_ireflect_xi100_kTe_69p0835,effective_albedo_ireflect_xi100_kTe_76p0927,effective_albedo_ireflect_xi100_kTe_83p813,effective_albedo_ireflect_xi100_kTe_92p3167,effective_albedo_ireflect_xi100_kTe_101p683,effective_albedo_ireflect_xi100_kTe_112,effective_albedo_ireflect_xi100_kTe_123p363,effective_albedo_ireflect_xi100_kTe_135p88,effective_albedo_ireflect_xi100_kTe_149p666,effective_albedo_ireflect_xi100_kTe_164p851,effective_albedo_ireflect_xi100_kTe_181p577,effective_albedo_ireflect_xi100_kTe_200
0.03,8.547302481681615e-09,1.246907168195437e-08,1.831706592903701e-08,2.713375798942047e-08,4.060893800045016e-08,6.154105439122827e-08,9.46750579442556e-08,1.482953851502109e-07,2.373825402394744e-07,3.899760068232642e-07,6.599110814670507e-07,1.151797890976059e-06,2.068820415889389e-06,3.801937263686803e-06,7.091832460520725e-06,1.331315697643226e-05,2.495258032931991e-05,4.637136864488732e-05,8.494261861737075e-05,0.0001525947508075164,0.0002676122514905297,0.0004562254047048382,0.0007533202528215873,0.001202058647038568,0.001853187186932495,0.002764929439671205,0.004003189160621715,0.005641902378105679,0.007765371314803734,0.01046950545713803,0.01385515245512302,0.01801629933765438
0.03618298899161007,9.059430201074533e-09,1.324051726405327e-08,1.948815517712525e-08,2.893018346773946e-08,4.340019874938992e-08,6.594189689425874e-08,1.017284440679838e-07,1.598209840495311e-07,2.566627298231046e-07,4.231051511649893e-07,7.183908709130767e-07,1.257385583321594e-06,2.262337282764894e-06,4.158863292231037e-06,7.749136982015366e-06,1.45138574196011e-05,2.7116700903972e-05,5.020373745242648e-05,9.158802928902969e-05,0.0001638470191813788,0.0002861765100594284,0.0004860480366791193,0.000800103586974543,0.001274268940113448,0.001963951172182436,0.002935043433272041,0.004265187139082189,0.006045303291975118,0.008382517407952665,0.01140010851699571,0.01522658717291892,0.01997840994400545
0.04364028974556586,9.699797710159532e-09,1.420702020655308e-08,2.095882998495936e-08,3.119228320016619e-08,4.692482958897144e-08,7.151363265726368e-08,1.106810725311679e-07,1.744898647798921e-07,2.81275228303112e-07,4.65521901398055e-07,7.934286467827775e-07,1.392977793154404e-06,2.51065813862886e-06,4.615926236048325e-06,8.588378190278817e-06,1.604177260579774e-05,2.986153741371928e-05,5.505119745827375e-05,9.99798656041978e-05,0.0001780573448630884,0.0003096813707695447,0.0005240418803279057,0.0008603611253580887,0.001368778147750604,0.002111781119404643,0.003166616028096848,0.004627844300671094,0.006610092518886186,0.009250742724095623,0.01270581115680755,0.01713322118608963,0.02266435658679729
0.05263453744848279,1.050533407572992e-08,1.54257193890062e-08,2.281856690388116e-08,3.406188780816559e-08,5.141011775730799e-08,7.862480985173123e-08,1.221406050619409e-07,1.93327323529107e-07,3.129960585693851e-07,5.20376228073687e-07,8.907020756120662e-07,1.568882270119067e-06,2.832492156454316e-06,5.206905137310479e-06,9.670042666479794e-06,1.80042016445911e-05,3.337579233614596e-05,6.124357681913001e-05,0.000110693092070322,0.0001962293644043138,0.0003398874808746544,0.0005733207837163246,0.0009396466058510184,0.001495482419537131,0.00231404032035645,0.0034892875778413,0.005139860171234224,0.007412350793185857,0.01048229945674022,0.01454247092375163,0.01977351231800329,0.02630570565426721
0.06348249630256467,1.152584022339315e-08,1.697415398977856e-08,2.51895536148175e-08,3.773368423886633e-08,5.716932096256889e-08,8.77856087656024e-08,1.369533182135473e-07,2.177719459973696e-07,3.543351856418964e-07,5.921426494348398e-07,1.018293270847735e-06,1.799763850352662e-06,3.254400025111958e-06,5.979637922779442e-06,1.107967096833734e-05,2.055305545441241e-05,3.792801312382121e-05,6.925518475107848e-05,0.0001245680758232028,0.0002198607226881348,0.0003794850456528403,0.0006387525631040929,0.001046771652204866,0.001670174912558036,0.002598345924442112,0.003949448526701305,0.005875579008290968,0.008565050079155968,0.0122371009882563,0.01711916364569845,0.02339933902518229,0.03116775045501853
0.0765662154958542,1.282967938242334e-08,1.895949180060891e-08,2.824172156029652e-08,4.2479707994816e-08,6.464190827538881e-08,9.97155095113598e-08,1.563214973906481e-07,2.498849900355165e-07,4.089162682742575e-07,6.873122461646177e-07,1.187945849208689e-06,2.106915448716043e-06,3.814881940638704e-06,7.0033871174624e-06,1.294123210648399e-05,2.390952977685308e-05,4.391309477984132e-05,7.979449309528928e-05,0.0001428857927150963,0.0002512883352063765,0.0004327655639439293,0.0007282289124441304,0.001196147355063441,0.001918562145832252,0.003008959003169776,0.004619952454022342,0.006948002139645994,0.01023240088529528,0.01473712614065511,0.02070667586176728,0.02830374999501303,0.0375280308456335
0.09234648441385787,1.45127000353576e-08,2.15330484023628e-08,3.221638437058846e-08,4.868788120248226e-08,7.445731911606596e-08,1.15451808811905e-07,1.819940115554296e-07,2.926931905507933e-07,4.821006894248364e-07,8.155301463826867e-07,1.417130391774199e-06,2.521995491462801e-06,4.57114367809638e-06,8.381170936202296e-06,1.543992423539343e-05,2.840716569288204e-05,5.193557698545716e-05,9.396808236897823e-05,0.0001676934386277347,0.0002943283392433131,0.0005068566640817017,0.0008549822196888799,0.001411839426408211,0.00228309289891948,0.003617293539722754,0.005614209909558214,0.008526831057011781,0.01264791599846678,0.01827494054090259,0.02563575286347103,0.03480007369989858,0.04561308870531275
0.1113790609653504,1.671260957567545e-08,2.491370386591773e-08,3.746432844834264e-08,5.692434740642691e-08,8.753922574925175e-08,1.365295693419314e-07,2.165861040069909e-07,3.507680806179521e-07,5.820447313956905e-07,9.91522918959796e-07,1.732547779314635e-06,3.093395249083858e-06,5.610735492800856e-06,1.027131813245764e-05,1.886291952123904e-05,3.457075924833129e-05,6.296574297426957e-05,0.0001135927524848597,0.0002024265408611038,0.0003554956466050345,0.0006140474968773202,0.00104176938790801,0.001734813149260534,0.002834215937670756,0.004538043325998667,0.007107755815944375,0.01085932291288203,0.01613269575867997,0.02321953985882488,0.03226430871607705,0.04317356631426109,0.05554213235394385
0.1343342445601713,1.96326845301443e-08,2.942652156395146e-08,4.450870363694488e-08,6.803727350145048e-08,1.052816972758895e-07,1.65290218161716e-07,2.641338523138505e-07,4.312361747347592e-07,7.215462959247227e-07,1.238468710483596e-06,2.176275816058058e-06,3.897501929181067e-06,7.072437827987355e-06,1.292696145967265e-05,2.3675897516049e-05,4.326826787118198e-05,7.864556365177996e-05,0.0001418128176289465,0.0002531355870542292,0.0004463799039472629,0.0007761768553898911,0.001328624606605958,0.002235393375656443,0.003689036305240136,0.00595447507196096,0.00936516596142473,0.01429715216526892,0.02109752848517209,0.02998813472163258,0.04093600562344094,0.05357972582322567,0.06725214056335195
0.1620204830705645,2.358168949313043e-08,3.556777503846761e-08,5.415151258074743e-08,8.333504113615142e-08,1.298568341411944e-07,2.05428572588825e-07,3.31086723482265e-07,5.455956369365723e-07,9.213720997148357e-07,1.594086333100423e-06,2.816952347745812e-06,5.059458908975386e-06,9.185522851998558e-06,1.677214235473877e-05,3.067441535233842e-05,5.601749618838562e-05,0.0001019135521639008,0.0001843591889499915,0.0003309596564882606,0.0005883226165137395,0.001033019734641292,0.001786863903169185,0.003034847065635048,0.005041506664722253,0.008152872125910791,0.0127756037309891,0.01930769301308796,0.02803722139712062,0.03899701186298055,0.05186769390848346,0.06598239377258219,0.08039837346547088
