tau_T,eta_kTe_10,eta_kTe_11p0146,eta_kTe_12p1321,eta_kTe_13p3631,eta_kTe_14p7189,eta_kTe_16p2123,eta_kTe_17p8572,eta_kTe_19p6689,eta_kTe_21p6646,eta_kTe_23p8626,eta_kTe_26p2837,eta_kTe_28p9505,eta_kTe_31p8878,eta_kTe_35p1231,eta_kTe_38p6867,eta_kTe_42p6119,eta_kTe_46p9353,eta_kTe_51p6973,eta_kTe_56p9425,eta_kTe_62p7199,eta_kTe_69p0835,eta_kTe_76p0927,eta_kTe_83p813,eta_kTe_92p3167,eta_kTe_101p683,eta_kTe_112,eta_kTe_123p363,eta_kTe_135p88,eta_kTe_149p666,eta_kTe_164p851,eta_kTe_181p577,eta_kTe_200
0.03,0.233924494402869,0.2380924470242239,0.2425028149529177,0.247203063662758,0.2522446762432594,0.2576839886642364,0.263582875719085,0.2700098908360429,0.2770425049505478,0.2847699056471843,0.2932964172556464,0.3027454691829348,0.3132638200129778,0.3250274834812849,0.3382470068433218,0.3531746442441343,0.3701127869151176,0.3894243035306383,0.4115466200761617,0.4370086677833133,0.4664535571631018,0.5006683172988925,0.5406232637756822,0.5875236360304537,0.5950870677451064,0.5993480243285246,0.6031734433407518,0.6064323208093503,0.6089852803580416,0.6106908872991007,0.6114141533588229,0.6110388560530811
0.03618298899161007,0.2792490912677779,0.2842516952356762,0.2895478112760071,0.2951948114064807,0.301254999821285,0.3077966455093197,0.3148948393327702,0.3226329005652824,0.331105111064045,0.3404201368140937,0.3507052180693433,0.3621110517724014,0.3748170297113635,0.3890385868064216,0.4050338667882336,0.4231127914898532,0.4436478216321947,0.467087269271203,0.4939734744547003,0.5249649740948273,0.560866357147226,0.580004264909599,0.5846977815419352,0.5892257281668594,0.5934897965869432,0.5973755282222698,0.6007535256702011,0.6034830102845838,0.605416608890962,0.6064088369697784,0.6063282304473594,0.6050732073860086
0.04364028974556586,0.3328242256091695,0.3388238223623047,0.3451790799155116,0.3519593790101088,0.3592401746715762,0.3671042782395719,0.375642934595527,0.384957565577958,0.395163118354674,0.4063922605198768,0.4188005317808904,0.4325723771154786,0.4479276797047126,0.4651309259222426,0.4844996953675913,0.50641623052297,0.5313413164408606,0.5598316222743724,0.565252386553982,0.5698763911504247,0.5744989430542672,0.5790655713269671,0.5835047237617248,0.5877265705986828,0.5916233804560169,0.5950704906262702,0.5979282298864445,0.6000467964001073,0.6012734001387365,0.6014644401210423,0.6005010621366997,0.5983102404756988
0.05263453744848279,0.3959792490629312,0.4031680754166682,0.4107882759370077,0.4189238051139124,0.4276661258417069,0.4371158087869254,0.4473838953054388,0.4585940697694809,0.4708867741982444,0.4844243711655439,0.4993975051910954,0.5160325973021538,0.5346000487766516,0.5430277592943524,0.5472781888349406,0.5515802380071806,0.5559377525091388,0.560346141711048,0.5647907349362743,0.5692431391442152,0.5736591140357814,0.5779770766585685,0.5821172086781553,0.5859802810517288,0.589448235362144,0.5923857261122558,0.5946432959967332,0.596064521232876,0.5964963306595934,0.595805874474857,0.5939018374430245,0.5907558269430109
0.06348249630256467,0.4702094375174394,0.4788146322741585,0.487943613528949,0.4976980475656408,0.5061882101821461,0.510294869435568,0.514392706483209,0.5184866399046861,0.5225789348944568,0.5266710839587961,0.5307655198792265,0.5348667344764095,0.5389808739665141,0.5431168378748222,0.5472830604705855,0.5514855355201986,0.5557247102120082,0.5599918856631956,0.5642674538481064,0.5685171389884403,0.5726897529205955,0.5767156009623482,0.5805055584674114,0.5839500422322901,0.5869200730346243,0.5892699307658331,0.5908422950183565,0.5914787819105071,0.5910353002483301,0.5894032153212135,0.5865357461418399,0.5824721083159621
0.0765662154958542,0.4901209042521036,0.4943826051264644,0.4985682038206379,0.5027005936779241,0.5067978934045514,0.5108738382163012,0.5149373771471021,0.5189928343345932,0.5230417548894197,0.527084749013345,0.5311231558703216,0.5351601018109791,0.539200026186356,0.5432497018830829,0.5473149291624587,0.5513984667806041,0.5554968238030905,0.5595965529978963,0.5636723570600142,0.5676832108395563,0.5715700088686959,0.5752539162948843,0.5786355196643471,0.5815942143540064,0.5839901606654758,0.5856688390834695,0.5864695504565802,0.586240213615985,0.5848589412314084,0.5822614237987268,0.5784650553073746,0.5735906720337792
0.09234648441385787,0.4910118869132166,0.4952467466534156,0.4994030820855139,0.5035034783076255,0.5075656514394583,0.5116028490703857,0.5156234371275407,0.5196310406429352,0.5236263624157226,0.527608983629223,0.5315789699412389,0.5355378592047604,0.5394881076491145,0.5434340193338538,0.5473783419603733,0.5513200924596878,0.5552512355796148,0.5591528614506446,0.5629931527339568,0.5667233960772718,0.5702755566225263,0.5735606646822732,0.5764682697173682,0.5788666113661749,0.5806063290186974,0.5815280341126889,0.5814752554899379,0.580316348027754,0.5779699169537108,0.5744367280526177,0.5698219924130993,0.5643320377275556
0.1113790609653504,0.4921263961086562,0.4963264839663051,0.5004452776531257,0.504504976216934,0.5085228047827741,0.5125114255643204,0.5164785131193664,0.5204268714350261,0.5243562197232988,0.5282649414630843,0.532151622697939,0.5360159579158515,0.5398581054272437,0.5436795111776569,0.5474793955810094,0.5512524609144037,0.5549854459194498,0.5586531818647701,0.5622164192858334,0.5656177586960278,0.5687792274761543,0.571600903552413,0.5739610128233195,0.5757176868983152,0.5767154989130276,0.5767974358189347,0.5758248557305141,0.5737042404491713,0.5704196181789786,0.5660588561245027,0.5608176579649184,0.5549901816222005
0.1343342445601713,0.4935112379095253,0.4976669007930571,0.5017381047440673,0.5057465671325322,0.5097089152341868,0.513637109019059,0.517538003485469,0.521413438469748,0.5252619848512446,0.5290806326197619,0.5328662498338509,0.5366163936971005,0.5403285626301751,0.5440008975934931,0.5476285483135838,0.5512012490683117,0.5546997400026793,0.5580917021656556,0.5613294590736421,0.5643458952141287,0.5670522026670083,0.569337086186182,0.5710681991940116,0.5720966210199205,0.5722676556152327,0.5714397704671459,0.5695104019493972,0.5664507456807951,0.5623303549347562,0.5573351371663331,0.551750094814376,0.5459058305592144
0.1620204830705645,0.4952269415530607,0.4993266851365497,0.5033383437931265,0.5072830362949217,0.5111766628090509,0.5150303404913644,0.5188499513181732,0.5226362004547885,0.5263863148789336,0.5300956594939146,0.533759103330282,0.5373717207958734,0.5409279261101027,0.5444220323218297,0.547844484280429,0.5511792890006713,0.5544002982434765,0.5574670371937955,0.5603223313610711,0.5628883572218851,0.5650649033344182,0.5667297532900102,0.5677426990658652,0.5679541228919667,0.567222831020862,0.5654413436025787,0.5625704065745081,0.5586669451406052,0.5539044496353304,0.5485592937222775,0.5429604373341849,0.5374432419483528
