tau_T,p_sc_kTe_10,p_sc_kTe_11p0146,p_sc_kTe_12p1321,p_sc_kTe_13p3631,p_sc_kTe_14p7189,p_sc_kTe_16p2123,p_sc_kTe_17p8572,p_sc_kTe_19p6689,p_sc_kTe_21p6646,p_sc_kTe_23p8626,p_sc_kTe_26p2837,p_sc_kTe_28p9505,p_sc_kTe_31p8878,p_sc_kTe_35p1231,p_sc_kTe_38p6867,p_sc_kTe_42p6119,p_sc_kTe_46p9353,p_sc_kTe_51p6973,p_sc_kTe_56p9425,p_sc_kTe_62p7199,p_sc_kTe_69p0835,p_sc_kTe_76p0927,p_sc_kTe_83p813,p_sc_kTe_92p3167,p_sc_kTe_101p683,p_sc_kTe_112,p_sc_kTe_123p363,p_sc_kTe_135p88,p_sc_kTe_149p666,p_sc_kTe_164p851,p_sc_kTe_181p577,p_sc_kTe_200
0.03,0.05635769636840826,0.0563575889455894,0.05635747142747982,0.05635734295123351,0.05635720259768018,0.05635704939126285,0.05635688230086511,0.05635670024172479,0.05635650207863996,0.05635628663069259,0.05635605267771382,0.05635579896871779,0.05635552423250201,0.05635522719057617,0.05635490657251374,0.05635456113371751,0.05635418967545691,0.05635379106683835,0.05635336426813697,0.05635290835462969,0.05635242254615169,0.05635190619305619,0.05635135887005049,0.05635078029592666,0.05635017038892132,0.05634952923894332,0.05634885707581749,0.05634815422288642,0.0563474210221403,0.05634665773646885,0.05634586442276712,0.05634504077739533
0.03618298899161007,0.06718729488914066,0.06718716812846837,0.06718702945518362,0.06718687785111277,0.06718671223161854,0.06718653144552511,0.06718633427609588,0.06718611944329078,0.06718588560755001,0.06718563137536504,0.06718535530691316,0.06718505592600443,0.06718473173259232,0.06718438121802905,0.06718400288318149,0.06718359525939455,0.06718315693213495,0.06718268656691562,0.06718218293683065,0.06718164495067425,0.06718107168782195,0.06718046238166075,0.06717981653031679,0.06717913380193896,0.06717841410002023,0.06717765753063032,0.06717686436494019,0.06717603498447156,0.06717516979274929,0.06717426909995605,0.0671733329731935,0.06717236105412283
0.04364028974556586,0.07994483004633846,0.07994468096598384,0.07994451787546886,0.07994433957734071,0.07994414479597955,0.07994393217751117,0.07994370029095565,0.07994344763088268,0.07994317262186112,0.07994287362501262,0.0799425489469866,0.07994219685166226,0.07994181557485935,0.07994140334228128,0.07994095839081916,0.07994047899320778,0.07993996348583043,0.0799394102992107,0.07993881799039249,0.07993818527601204,0.07993751107332059,0.07993679448069624,0.07993603490786971,0.07993523196452912,0.0799343855371446,0.07993349575042941,0.07993256292326745,0.07993158750432205,0.07993056996813164,0.07992951067945364,0.0799284097171592,0.07992726665976324
0.05263453744848279,0.09492072011734665,0.09492054543316597,0.09492035433263979,0.09492014541265559,0.09491991717850912,0.09491966804380125,0.0949193963317837,0.09491910027847095,0.09491877803785254,0.09491842768957393,0.09491804724945097,0.09491763468318204,0.09491718792358639,0.09491670489162718,0.09491618352137421,0.09491562178889534,0.09491501774483602,0.09491436955014698,0.09491367551402685,0.0949129341326731,0.09491214413734983,0.09491130447155327,0.09491041444360326,0.09490947359611634,0.09490848179602451,0.09490743918941857,0.0949063461499049,0.09490520320315632,0.09490401090516198,0.09490276968327094,0.0949014796298423,0.09490014025093596
0.06348249630256467,0.1124327193764182,0.1124325155197252,0.1124322925051217,0.1124320486951706,0.1124317823455463,0.1124314916049133,0.1124311745164989,0.1124308290217221,0.1124304529662787,0.1124300441091023,0.1124296001346362,0.1124291186688349,0.1124285972992799,0.1124280335997148,0.1124274251591764,0.1124267696157105,0.1124260646943919,0.1124253082490184,0.1124244983063903,0.1124236331115329,0.1124227111837911,0.112421731290181,0.1124206926234662,0.1124195946498318,0.1124184372139359,0.1124172204862133,0.1124159449026069,0.1124146110765184,0.1124132196567246,0.1124117711418742,0.1124102656396757,0.1124087025736155
0.0765662154958542,0.1328232581343828,0.1328230212934738,0.1328227621948712,0.1328224789361951,0.1328221694908807,0.1328218317080387,0.1328214633142819,0.13282106191794,0.1328206250161299,0.1328201500051664,0.1328196341948191,0.1328190748269031,0.1328184690986492,0.1328178141912079,0.1328171073034945,0.1328163456913584,0.1328155267117567,0.1328146478711931,0.1328137068771612,0.1328127016906839,0.1328116305914853,0.1328104921470301,0.1328092854194121,0.1328080097883828,0.1328066650734013,0.1328052514724096,0.1328037694918148,0.1328022198441908,0.1328006032832064,0.1327989203881051,0.1327971712839261,0.1327953553007661
0.09234648441385787,0.1564539478157388,0.1564536740160706,0.1564533744854022,0.156453047024484,0.156452689290502,0.156452298796915,0.1564518729155668,0.1564514088815588,0.1564509038014226,0.1564503546651549,0.1564497583626997,0.156449111705439,0.1564484114532092,0.1564476543472543,0.15644683714935,0.1564459566870871,0.1564450099049359,0.1564439939202449,0.1564429060827118,0.1564417440351208,0.1564405057886847,0.156439189687253,0.156437794646486,0.1564363199492661,0.1564347653867946,0.1564331311878135,0.1564314179376605,0.1564296264600071,0.1564277576260265,0.1564258121052394,0.1564237900420726,0.156421690661944
0.1113790609653504,0.1836955057600815,0.183695191006036,0.1836948466721782,0.1836944702302912,0.1836940589871193,0.1836936100841806,0.183693120500192,0.1836925870566726,0.1836920064273379,0.1836913751519335,0.1836906896551844,0.1836899462714972,0.183689141276019,0.1836882709225179,0.1836873314883597,0.183686319326563,0.1836852309245031,0.1836840629682848,0.1836828124111093,0.1836814765430962,0.1836800530778959,0.1836785401115426,0.1836769363974055,0.1836752411109973,0.1836734540121768,0.1836715753637836,0.1836696058385859,0.1836675463833289,0.1836653979993561,0.1836631614561852,0.1836608369196822,0.1836584234992196
0.1343342445601713,0.2149106210880029,0.2149102615962112,0.214909868320231,0.2149094383724873,0.2149089686769059,0.2149084559686982,0.2149078967971336,0.2149072875319364,0.2149066243740151,0.2149059033712635,0.2149051204401998,0.2149042713941818,0.214903351978879,0.214902357915536,0.2149012849523417,0.2149001289238832,0.2148988858181919,0.2148975518502667,0.2148961235401567,0.2148945977927088,0.2148929719964886,0.2148912439767869,0.2148894123096514,0.2148874760532657,0.2148854349332072,0.214883289249519,0.2148810397704286,0.2148786875770742,0.2148762338129417,0.2148736793567261,0.2148710243976494,0.2148682679182472
0.1620204830705645,0.2504269053989816,0.2504264979530123,0.2504260522161907,0.2504255649157433,0.2504250325652488,0.2504244514643967,0.2504238177021259,0.2504231271638759,0.2504223755437465,0.2504215583624058,0.2504206709916145,0.2504197086862053,0.250418666624285,0.2504175399562676,0.2504163238630961,0.2504150136236256,0.2504136046906129,0.2504120927740452,0.2504104739296403,0.2504087446492291,0.2504069019728751,0.2504049434356095,0.2504028674233554,0.2504006728684742,0.2503983594597362,0.2503959275369969,0.2503933779707394,0.2503907119860845,0.2503879308788045,0.2503850356445375,0.2503820264974517,0.2503789022840229
0.1954128451785861,0.290497729604314,0.2904972720452773,0.2904967714858167,0.2904962242506122,0.2904956264244168,0.2904949738517819,0.2904942621405823,0.2904934866701592,0.2904926426049734,0.2904917249147161,0.2904907284018471,0.290489647737507,0.2904884775066623,0.290487212263169,0.290485846595153,0.2904843752006802,0.2904827929730908,0.2904810950945765,0.2904792771355649,0.2904773351562183,0.2904752658323418,0.2904730663955689,0.2904707350330629,0.2904682705456163,0.2904656725834494,0.2904629415279317,0.2904600783563089,0.2904570844440671,0.2904539612460123,0.2904507098798763,0.2904473305857679,0.2904438220678347
0.2356873608638661,0.3352510536314618,0.3352505454646533,0.3352499895413318,0.3352493817796506,0.3352487178312931,0.3352479930811696,0.3352472026513289,0.3352463414100023,0.3352454039867649,0.3352443847948694,0.3352432780618296,0.3352420778693018,0.3352407782032226,0.3352393730149603,0.3352378562939259,0.3352362221516098,0.3352344649163541,0.3352325792372789,0.3352305601946561,0.3352284034126366,0.3352261051990822,0.3352236624791362,0.3352210732391359,0.3352183361468954,0.3352154508135864,0.3352124176623783,0.3352092377782033,0.3352059126882587,0.3352024440078089,0.3351988329777262,0.3351950798641433,0.3351911832272769
0.2842624394532966,0.3846302054404593,0.3846296484919705,0.3846290392024607,0.3846283730982152,0.3846276454134633,0.3846268510900441,0.3846259847816944,0.3846250408639567,0.3846240134507966,0.3846228964190777,0.3846216834420795,0.384620368033205,0.3846189436009295,0.3846174035158205,0.384615741190116,0.3846139501698277,0.3846120242386077,0.3846099575316504,0.3846077446566614,0.3846053808174037,0.3846028619669544,0.384600184734897,0.3845973469138514,0.3845943470433038,0.3845911846966299,0.3845878603371269,0.3845843751533544,0.3845807308185644,0.3845769291024955,0.384572971364509,0.3845688578955906,0.3845645871169603
