kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
10.0,0.019569471624266144,0.03,100.0,0.233924494402869,0.05635769636840826,0.06036422203479529,8.547302481681615e-09,2.33924494402869e-13,20,0.0014004206526502553,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.03618298899161007,100.0,0.27924909126777786,0.06718729488914066,0.07202428511731289,9.059430201074533e-09,2.7924909126777783e-13,21,0.00109608751285533,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.04364028974556586,100.0,0.3328242256091695,0.07994483004633846,0.08578549414497239,9.699797710159532e-09,3.328242256091695e-13,22,0.0009658419162707068,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.05263453744848279,100.0,0.39597924906293125,0.09492072011734665,0.10197483922491964,1.0505334075729918e-08,3.9597924906293126e-13,22,0.002846222398707461,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.06348249630256467,100.0,0.47020943751743943,0.11243271937641819,0.1209545507341471,1.1525840223393153e-08,4.702094375174394e-13,23,0.002881556154945217,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.0765662154958542,100.0,0.49012090425210364,0.13282325813438278,0.14312122648907785,1.2829679382423342e-08,5.571839269610708e-13,25,0.001236773877408563,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.09234648441385787,100.0,0.49101188691321657,0.15645394781573885,0.16890256971202194,1.45127000353576e-08,6.587483912599979e-13,26,0.0015900531434988828,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.11137906096535036,100.0,0.4921263961086562,0.18369550576008153,0.1987501316224785,1.6712609575675454e-08,7.769183681004701e-13,27,0.0021737249343167196,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.13433424456017132,100.0,0.49351123790952534,0.21491062108800285,0.23312578048980837,1.9632684530144303e-08,9.138578656775352e-13,29,0.001465274861851982,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.1620204830705645,100.0,0.4952269415530607,0.2504269053989816,0.2724793361523789,2.3581689493130435e-08,1.0718379760117417e-12,30,0.0023579073377284748,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
