kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,downward_flux_model,effective_albedo_ireflect_xi100,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
10.0,0.019569471624266144,0.03,100.0,0.233924494402869,0.05635769636840826,0.06036422203479529,2.33924494402869e-13,8.547302481681615e-09,20,0.0014004206526502553,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.05,100.0,0.3776380306685221,0.09057863564449908,0.09727698989314312,3.776380306685221e-13,1.026560220250127e-08,22,0.0021425594620805223,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.08,100.0,0.49031156344682103,0.13805138747468104,0.14881655625526324,5.795817349325762e-13,1.3185437075581346e-08,25,0.0016283192855339537,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.13,100.0,0.4932469118239862,0.2091455125147773,0.2267624644404831,8.884374308459184e-13,1.9057832862090484e-08,28,0.002558615551839038,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.2,100.0,0.49765035226135473,0.29578424219856636,0.32314626143131553,1.277364246658354e-12,2.985759887454899e-08,32,0.002395588284599491,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.32,100.0,0.5057737504217343,0.41809674152463217,0.4626019594679558,1.8584678744453235e-12,5.8051819274365434e-08,38,0.0018362234653175717,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.5,100.0,0.5188377939592878,0.5568524914322297,0.6282619204685328,2.5891883610385214e-12,1.364322534032809e-07,44,0.002849652205279052,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,0.8,100.0,0.5409282794767577,0.711428089997679,0.8316985183436982,3.573525775939308e-12,4.620837005516594e-07,54,0.002806941168436899,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,1.25,100.0,0.5710685200768242,0.8428144799460136,1.049916285401329,4.762491320278761e-12,2.333678852615686e-06,68,0.00244970025215156,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,2.0,100.0,0.6067190976947782,0.9397230027296379,1.3578471578054665,6.5437975907053575e-12,2.9789846625458486e-05,88,0.002853226614849055,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,3.2,100.0,0.6076751898101104,0.9859151944673153,2.3202214702352473,1.1199335396083012e-11,0.0016528583602597566,121,0.002943460303947496,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,5.0,100.0,0.5116665974204373,0.998243509974171,37.47995309887029,1.5232718259432443e-10,0.07062412753395135,188,0.0029097144644482406,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,8.0,100.0,0.49999999999999234,0.9999376429825093,4.099239555883565e+28,1.6280382628867222e+17,0.20736889152601154,1999,0.027384134931622704,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
10.0,0.019569471624266144,10.0,100.0,0.49999999999998895,0.999992896996593,4.756719056853053e+68,1.8891603002913463e+57,0.20515055024557957,1999,0.07179890404433395,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.03,100.0,0.2532763845878664,0.05635717364710591,0.0630577184955464,2.5327638458786637e-13,4.4005540539625966e-08,18,0.0009338779505455403,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.05,100.0,0.4094895114218213,0.09057782143944759,0.10180037083680159,4.0948951142182124e-13,5.4341266108667785e-08,20,0.0011085932919133294,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.08,100.0,0.5077601347412098,0.13805019465056811,0.1561320634868716,6.297120509010849e-13,7.254219489901374e-08,22,0.0017761329122749766,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.13,100.0,0.5102563003122842,0.20914380255524756,0.2388503474034343,9.680673158032729e-13,1.1099051078435497e-07,25,0.0019378838356697717,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.2,100.0,0.5139898321793112,0.29578198514536214,0.34215841490558474,1.3969248966321378e-12,1.8615463121899367e-07,28,0.0026240316389016896,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.32,100.0,0.5209381125085816,0.41809389230631666,0.49417107471234,2.044818463423032e-12,4.01038863047934e-07,33,0.002223011758058921,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.5,100.0,0.5322220738044264,0.5568492730329511,0.6805145623760842,2.876879095418766e-12,1.0960380906904154e-06,39,0.0022204985635077734,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,0.8,100.0,0.5510701126245355,0.7114249309660674,0.9247347359845746,4.04776539789312e-12,4.763077639798316e-06,47,0.002762376800206166,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,1.25,100.0,0.5749588348517769,0.842811935120651,1.2269606162235527,5.603491002486531e-12,3.491017161387333e-05,58,0.0029623956965104422,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,2.0,100.0,0.5940267063009873,0.9397215245277155,1.8150245166388639,8.564061367167078e-12,0.0007570733560374127,75,0.0029748159145848133,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,3.2,100.0,0.5584941379086992,0.9859146696308124,5.113665837742125,2.2685182021602586e-11,0.02271017307049835,102,0.00281160370608929,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,5.0,100.0,0.5045711242274351,0.9982434118717354,135.42256835861798,5.427561380122019e-10,0.1500511287567917,151,0.0029066411630424807,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,8.0,100.0,0.4999999999999929,0.99993763760866,6.418542535109963e+21,25491637404.12976,0.26031558139236916,1999,0.019374850519104387,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
15.0,0.029354207436399216,10.0,100.0,0.4999999999999898,0.9999928962426665,3.489038966633061e+60,1.3856933367625533e+49,0.2592105722928248,1999,0.06283231306004143,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.03,100.0,0.2711790051031029,0.05635666719706578,0.06589314257353344,2.7117900510310287e-13,1.605814333647111e-07,16,0.002062447912211482,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.05,100.0,0.43913079025903223,0.0905770325785632,0.1065798396298177,4.391307902590322e-13,2.0356929063521037e-07,18,0.001709717508018718,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.08,100.0,0.5198274499672325,0.138049038955395,0.1639026300526146,6.767627337697317e-13,2.8135712251690346e-07,20,0.0020438344863860846,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.13,100.0,0.5218944763354888,0.2091421458200936,0.25179688885671186,1.043816997471055e-12,4.5276050582508105e-07,23,0.0016753302182836458,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.2,100.0,0.5249998355602926,0.29577979834295376,0.3627484629445704,1.5127113057717643e-12,8.091766569030524e-07,26,0.0018416342139881633,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.32,100.0,0.5308572026244487,0.41809113176471946,0.529018102848259,2.2306917054356153e-12,1.9219612930076166e-06,30,0.002241959847666169,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.5,100.0,0.5404490173914687,0.5568461547924645,0.7399850730049442,3.1766472784953686e-12,5.926341030672934e-06,35,0.002647570193391806,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,0.8,100.0,0.5560396250237982,0.7114218702341439,1.037145699644527,4.580752393844542e-12,3.123349848167442e-05,43,0.0022546378510410435,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,1.25,100.0,0.5731740103969879,0.8428094694697529,1.467719933707926,6.682223339072719e-12,0.00031087034109174104,53,0.0023134993638698554,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,2.0,100.0,0.5745710289792686,0.9397200923034711,2.636760520499519,1.20338811007981e-11,0.0061745194672482495,67,0.002831940612141201,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,3.2,100.0,0.5295304188074108,0.9859141611121884,12.197061409931777,5.130236994131624e-11,0.07046601720434265,89,0.002938329870728938,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,5.0,100.0,0.5032030610825174,0.9982433168176602,300.9518381593634,1.202905689701764e-09,0.19758671468395414,128,0.0029292282954190597,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,8.0,100.0,0.5000000000000251,0.9999376324016339,3134414315989603.0,12448.519703726886,0.273980333406948,1999,0.011831352950259093,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
20.0,0.03913894324853229,10.0,100.0,0.49999999999999045,0.9999928955121297,1.481966257517195e+53,5.885720360211982e+41,0.2734645637975552,1999,0.054646227463203,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.03,100.0,0.30648838667365325,0.056355700242994855,0.07200468483777975,3.0648838667365325e-13,1.4248151613177313e-06,14,0.002670942397867118,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.05,100.0,0.4980167157188636,0.0905755264225031,0.11694401424543871,4.980167157188635e-13,1.8793884669734192e-06,16,0.0015181492111183352,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.08,100.0,0.5367215777525949,0.13804683240818338,0.1808991197582696,7.712173896804117e-13,2.724068949412844e-06,18,0.0013381146654054545,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.13,100.0,0.5378822713509873,0.2091389826427703,0.2805058474834061,1.1984514734650796e-12,4.64657701875907e-06,20,0.002092288403026983,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.2,100.0,0.5397077152049368,0.2957756231101093,0.4092696853046417,1.754524788495524e-12,8.797608492106224e-06,23,0.0015586691161586868,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.32,100.0,0.5433606007339423,0.4180858610849283,0.6103921628956277,2.6344405209421194e-12,2.2701931445639e-05,26,0.002526246947040273,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.5,100.0,0.5494467140420553,0.5568402011390992,0.8867324607118919,3.8699868734137454e-12,8.267286298061885e-05,31,0.0019092102810354021,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,0.8,100.0,0.5579213164337163,0.7114160263501615,1.3479250635894335,5.9735156796720366e-12,0.0005949370758872046,37,0.0023140588202727147,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,1.25,100.0,0.5601167069356557,0.8428047617439991,2.3011018843615085,1.0237777327327761e-11,0.005871248516230659,45,0.0024801876386974318,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,2.0,100.0,0.5380234273588997,0.939717357690668,6.7812370864768425,2.8980202761689243e-11,0.04935163219438417,57,0.0024255476214021833,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,3.2,100.0,0.5108805965429397,0.985913190155876,51.1179233896742,2.0743589790080585e-10,0.15561826042018156,73,0.0029293954575081147,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,5.0,100.0,0.5034871412510987,0.9982431353182435,783.2967613701846,3.132607755617742e-09,0.2312590862608944,101,0.002811925057699298,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,8.0,100.0,0.5004981744950759,0.9999376224587265,462318.6292211476,1.8379563627590698e-06,0.26092732256012374,333,0.002995120847949333,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
30.0,0.05870841487279843,10.0,100.0,0.4999999999999917,0.9999928941171166,1.2648657862959968e+40,5.023492453742001e+28,0.26032616350978144,1999,0.03996379580475434,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.03,100.0,0.3824592786879965,0.05635393190241922,0.08604719644400148,3.824592786879965e-13,3.748557846361676e-05,12,0.0026820587925459006,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.05,100.0,0.5588961933968939,0.09057277199955371,0.14108644402158585,6.263365325629012e-13,4.820342209352757e-05,14,0.0009561990579283573,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.08,100.0,0.5580980347782599,0.13804279711980416,0.221287010725739,9.809745036610067e-13,6.743421189081198e-05,15,0.0021204667049440564,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.13,100.0,0.5570186635829169,0.2091331978757246,0.3509677370833582,1.5528454969079918e-12,0.00011110646836632027,17,0.00201737477542941,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.2,100.0,0.5558151518809296,0.2957679874892579,0.5287688736803403,2.3344660825019906e-12,0.00021394019317718467,19,0.002306313653993935,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.32,100.0,0.5543332936338986,0.418076222073554,0.8376641830266027,3.688350748049138e-12,0.0006385705426572028,22,0.00215058935403994,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.5,100.0,0.5521753637959067,0.5568293130315669,1.3607673493696908,5.968321514448816e-12,0.0027696799773231605,26,0.0016566019199742799,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,0.8,100.0,0.5449379660683416,0.7114053388818878,2.683726184928596,1.1616534177372691e-11,0.01601435791493522,30,0.002745017513690969,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,1.25,100.0,0.528361969605005,0.8427961519941709,7.617298537658116,3.196861576144855e-11,0.06534100441239066,36,0.002798168594261356,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,2.0,100.0,0.5117268606846505,0.9397123563661224,40.08950482649342,1.6295219328235876e-10,0.15066970166285734,45,0.002410446781842985,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,3.2,100.0,0.5060268682960986,0.9859114143158293,281.6593622459562,1.1321111639602417e-09,0.20566859003286464,56,0.0028302726881970198,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,5.0,100.0,0.507398433905907,0.9982428033464418,2062.457915343264,8.312382558102992e-09,0.22054981565963877,74,0.0026987872519192114,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,8.0,100.0,0.5098637444455157,0.9999376042711372,53657.96833165658,2.173099742889844e-07,0.21588441217577814,135,0.002964663771207482,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
50.0,0.09784735812133072,10.0,100.0,0.4999999999999957,0.999992891565217,2.9585156346330107e+18,11749927.245940097,0.21077584372826144,1999,0.014987862984530495,False,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.03,100.0,0.5205854251966694,0.05635162647319325,0.11234636761699066,5.205854251966694e-13,0.0005940871819069898,11,0.0008629788649874862,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.05,100.0,0.5805077915168696,0.09056918098306688,0.18757307281830676,8.649078736922442e-13,0.0007242290715186522,12,0.0011890747164466035,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.08,100.0,0.5766245886574783,0.13803753619128323,0.3023334055450076,1.3847475274504272e-12,0.0009783391273547352,13,0.0018784474106367417,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.13,100.0,0.570790312920422,0.20912565607273792,0.5024932086583594,2.2782327726307843e-12,0.0016633403523700254,15,0.0011776422781760464,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.2,100.0,0.5634883697717171,0.2957580326178323,0.8127624314387197,3.6378089083624042e-12,0.0035316713269811714,16,0.00272498403313419,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.32,100.0,0.5524845660092067,0.4180636552035777,1.4849499609016636,6.516633159894049e-12,0.010695088921427107,19,0.0014813202428514598,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.5,100.0,0.5383593341280128,0.556815117503521,3.131260844757348,1.3390068511372526e-11,0.033293069687394164,21,0.0027693477258463207,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
80.0,0.15655577299412915,0.8,100.0,0.5217177222635543,0.7113914047272181,9.678491628300062,4.0108329375384827e-11,0.08810476019483424,25,0.0023159110872640306,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
