tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_15,effective_albedo_ireflect_xi100_kTe_20,effective_albedo_ireflect_xi100_kTe_30,effective_albedo_ireflect_xi100_kTe_50,effective_albedo_ireflect_xi100_kTe_80,effective_albedo_ireflect_xi100_kTe_120,effective_albedo_ireflect_xi100_kTe_200
0.03,8.547302481681615e-09,4.4005540539625966e-08,1.605814333647111e-07,1.4248151613177313e-06,3.748557846361676e-05,0.0005940871819069898,0.003611490922244353,0.01801629933765438
0.05,1.026560220250127e-08,5.4341266108667785e-08,2.0356929063521037e-07,1.8793884669734192e-06,4.820342209352757e-05,0.0007242290715186522,0.0044719660643915875,0.0251981229507175
0.08,1.3185437075581346e-08,7.254219489901374e-08,2.8135712251690346e-07,2.724068949412844e-06,6.743421189081198e-05,0.0009783391273547352,0.0064735306904507,0.03925927126173268
0.13,1.9057832862090484e-08,1.1099051078435497e-07,4.5276050582508105e-07,4.64657701875907e-06,0.00011110646836632027,0.0016633403523700254,0.012082783706139827,0.06508676725344704
0.2,2.985759887454899e-08,1.8615463121899367e-07,8.091766569030524e-07,8.797608492106224e-06,0.00021394019317718467,0.0035316713269811714,0.024751129015114805,0.09616067688855633
0.32,5.8051819274365434e-08,4.01038863047934e-07,1.9219612930076166e-06,2.2701931445639e-05,0.0006385705426572028,0.010695088921427107,0.055150057025249784,0.12927896790672944
0.5,1.364322534032809e-07,1.0960380906904154e-06,5.926341030672934e-06,8.267286298061885e-05,0.0027696799773231605,0.033293069687394164,0.10140339775410732,0.14952236939088925
0.8,4.620837005516594e-07,4.763077639798316e-06,3.123349848167442e-05,0.0005949370758872046,0.01601435791493522,0.08810476019483424,0.14845991103089617,0.15484785325115658
1.25,2.333678852615686e-06,3.491017161387333e-05,0.00031087034109174104,0.005871248516230659,0.06534100441239066,0.14989148840489394,0.1714339999948629,0.1477915016717379
2.0,2.9789846625458486e-05,0.0007570733560374127,0.0061745194672482495,0.04935163219438417,0.15066970166285734,0.1866385412920817,0.1724418531438643,0.13366331094952483
3.2,0.0016528583602597566,0.02271017307049835,0.07046601720434265,0.15561826042018156,0.20566859003286464,0.19219025209788293,0.16059268559951304,0.11833479342506303
5.0,0.07062412753395135,0.1500511287567917,0.19758671468395414,0.2312590862608944,0.22054981565963877,0.1831096684966886,0.14660743300926532,0.10623312170498321
8.0,0.20736889152601154,0.26031558139236916,0.273980333406948,0.26092732256012374,0.21588441217577814,0.16985635779133224,0.1339861304581861,0.09703830227661718
10.0,0.20515055024557957,0.2592105722928248,0.2734645637975552,0.26032616350978144,0.21077584372826144,0.16224483652566846,0.12807951221810576,0.09328585781744765
