kTe_keV,theta,tau_T,eta,p_sc,A_model,seed_flux_model,downward_flux_model,ionizing_flux_model_5eV_20keV,ionizing_flux_cgs_5eV_20keV,effective_albedo_reflect,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,seed_surface_flux_cgs,hemisphere_mu_order,observer_mu,exact_angles,xi_n1e13,effective_albedo_ireflect_n1e13,xi_n1e15,effective_albedo_ireflect_n1e15
10.0,0.019569471624266144,0.03,0.233924494402869,0.05635769636840826,0.06036422203479529,7.943123307102427e-12,2.33924494402869e-13,2.2702456475894231e-13,18368840598915.582,4.051423893404813e-09,20,0.0014004206526502553,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,23.08296587220605,6.7904065977112505e-09,0.2308296587220605,4.670037460393771e-09
10.0,0.019569471624266144,0.05,0.3776380306685221,0.09057863564449908,0.09727698989314312,7.943123307102427e-12,3.776380306685221e-13,3.665541003093867e-13,29658349291898.918,4.857269828487358e-09,22,0.0021425594620805223,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,37.269780901211874,8.734370673692668e-09,0.37269780901211874,5.659381683761005e-09
10.0,0.019569471624266144,0.08,0.49031156344682103,0.13805138747468104,0.14881655625526324,7.943123307102427e-12,5.795817349325762e-13,5.626843516292417e-13,45527492470061.375,6.2195530077252095e-09,25,0.0016283192855339537,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,57.21153435212378,1.1973339847045626e-08,0.5721153435212377,7.304162454658661e-09
10.0,0.019569471624266144,0.13,0.4932469118239862,0.2091455125147773,0.2267624644404831,7.943123307102427e-12,8.884374308459184e-13,8.62790429426056e-13,69809449410134.32,8.911956975927428e-09,28,0.002558615551839038,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,87.72514136721053,1.8581154511834e-08,0.8772514136721052,1.0516221046510548e-08
10.0,0.019569471624266144,0.2,0.49765035226135473,0.29578424219856636,0.32314626143131553,7.943123307102427e-12,1.277364246658354e-12,1.2409426156023296e-12,100406214290529.56,1.3676164212876528e-08,32,0.002395588284599491,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,126.17417007595607,3.152450179563206e-08,1.2617417007595608,1.614552120623524e-08
10.0,0.019569471624266144,0.32,0.5057737504217343,0.41809674152463217,0.4626019594679558,7.943123307102427e-12,1.8584678744453235e-12,1.806503624694291e-12,146166460702643.34,2.5200897375231078e-08,38,0.0018362234653175717,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,183.6781916578582,7.056125958589424e-08,1.836781916578582,2.9677328176874436e-08
10.0,0.019569471624266144,0.5,0.5188377939592878,0.5568524914322297,0.6282619204685328,7.943123307102427e-12,2.5891883610385214e-12,2.518820422620055e-12,203800900970909.22,5.332508695816861e-08,44,0.002849652205279052,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,256.10376531407576,2.178330584443219e-07,2.5610376531407577,6.322499949262301e-08
10.0,0.019569471624266144,0.8,0.5409282794767577,0.711428089997679,0.8316985183436982,7.943123307102427e-12,3.573525775939308e-12,3.4809476218859952e-12,281647812286267.3,1.4705123211073297e-07,54,0.002806941168436899,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,353.9290791912698,1.3570749908342082e-06,3.539290791912698,1.8493104554414551e-07
10.0,0.019569471624266144,1.25,0.5710685200768242,0.8428144799460136,1.049916285401329,7.943123307102427e-12,4.762491320278761e-12,4.648171675144926e-12,376089365782028.06,5.977940331878608e-07,68,0.00244970025215156,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,472.6078354536256,1.5626135052742358e-05,4.726078354536256,8.111565784489341e-07
10.0,0.019569471624266144,2.0,0.6067190976947782,0.9397230027296379,1.3578471578054665,7.943123307102427e-12,6.5437975907053575e-12,6.408497360239837e-12,518519511814987.9,1.2986497814672135e-05,88,0.002853226614849055,True,2000,0.0032,0.005,58022.590607750404,642688010615153.2,8,0.5,True,651.5908356243727,0.0003706772657679579,6.515908356243727,1.519316201851778e-05
