model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,0.1,0.1,9.0,0.019569471624266144,10.0,0.7192580637663085,8.533199929458132e+30,100.0,3.382737549283775e-07,0.5350613129331205,0.6768928237592355,0.7834390728403506,0.7833468505503105,9.39372722946722,7.358546640131841,9.0,0.3937272294672213,1.3318763338330468e-07,3.3296614876683646e-12,1.1263370940739852e-18,2.9934041274115484e-29,2.1796622134101445e+33,0.00011772162204143195,52,0.0023365493413912792,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.02200175720661032,11.242897932577874,0.6240669480215132,1.9261831300125896e+28,100.0,4.1961677765285626e-07,0.5318050784764832,0.6300481639301382,0.7369856805576924,0.7368055435617593,9.367034864352119,6.901683214790914,9.0,0.3670348643521192,1.5401405169256955e-07,3.1131699840911743e-12,1.3063383570099324e-18,4.419613389630272e-24,1.639756761590305e+33,0.00024445388720199053,47,0.002300368198170714,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.024325810086075792,12.43048895398473,0.5540032058004799,1.577190273474633e+26,100.0,5.180692320692875e-07,0.5300144940995845,0.5905960451063375,0.6980719628195395,0.6975989744637938,9.345539526156676,6.519438789257747,9.0,0.34553952615667555,1.790134897069555e-07,2.938862357212793e-12,1.5225341645585674e-18,5.191044852427216e-20,1.2912875434755386e+33,0.0006777935417557173,43,0.002508550690083809,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.027349259992502366,13.975471856168708,0.4803905279702434,9.687048498564079e+23,100.0,6.724298672774227e-07,0.5287426929538364,0.5438015868571422,0.6513611109653523,0.6510876261863479,9.320878313595502,6.068708535170706,9.0,0.3208783135955022,2.157683069122807e-07,2.7356309520530953e-12,1.8395199580090723e-18,1.033588671214291e-15,9.699083286206043e+32,0.00041995477476053665,39,0.0025458456726570656,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.03023817135716956,15.451705563513645,0.4256051078468545,1.7354555202174886e+22,100.0,8.626065100366176e-07,0.5284500493448497,0.5048815399369078,0.6125688582829505,0.6123968775753368,9.300999774122749,5.695903220001685,9.0,0.3009997741227493,2.596445886489474e-07,2.571284676614994e-12,2.2180069012054928e-18,2.524928088741451e-12,7.604593220449629e+32,0.00028079268457770326,36,0.0025317286274777937,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.03399646742364571,17.37219485348296,0.37131552281414454,2.1931607438439616e+20,100.0,1.1997420651447608e-06,0.5290045969924354,0.4623672532776435,0.5707093669381761,0.5701272745937205,9.279880822619022,5.290713161954317,9.0,0.27988082261902275,3.3578519897898884e-07,2.3980915075577736e-12,2.8770912576834763e-18,1.2014966741422422e-08,5.779143791855359e+32,0.00102046581215602,33,0.002416835492187663,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.037587525504399366,19.207225532748076,0.328922220384536,7.225477271448691e+18,100.0,1.6169588029465815e-06,0.5299766061850734,0.42609778595047865,0.5344637427628922,0.5340640168132079,9.262156996971724,4.946584770157278,9.0,0.2621569969717231,4.238977494326655e-07,2.2499157342993197e-12,3.638021052463307e-18,8.67188516304556e-06,4.527376336987194e+32,0.0007481807837903513,31,0.0018773531362697186,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.042259271278412974,21.59448762326903,0.2851537034916345,1.846708826195962e+17,100.0,2.3568238862084803e-06,0.5317138013684841,0.38548689466768615,0.49370711567341485,0.493681400787121,9.242615510613984,4.562907372216683,9.0,0.24261551061398312,5.718033782195625e-07,2.0851563467833804e-12,4.914346284578284e-18,0.009954064396481664,3.3946679160496145e+32,5.2086662688306725e-05,28,0.002423768104095952,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.046723132059005586,23.875520482151853,0.254398066407565,9361668702234138.0,100.0,3.400103198439877e-06,0.5337606651833267,0.3548269407558321,0.463907315435853,0.4631910558558743,9.228149690776506,4.27439639886683,9.0,0.2281496907765066,7.757351309117687e-07,1.9668402687062205e-12,6.687459888448368e-18,3.0753582685440564,2.6952698469441556e+32,0.0015451644500001588,26,0.0025768683984335092,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.1,0.1,9.0,0.05253034048297568,26.843003986800575,0.2207668810321166,399792742444960.2,100.0,5.287035153537483e-06,0.5365027230673732,0.31909162947677494,0.4281789665755657,0.42765348986397506,9.211341376966457,3.9392622861881392,9.0,0.21134137696645727,1.117375197020623e-06,1.82468778488327e-12,9.647188462908291e-18,1265.5039951656217,2.0227086537595708e+32,0.0012279898329863022,24,0.0024279037814672454,True,4000,8,True,input_equilibrium_curve,0
