tau_T,p_sc_kTe_10,p_sc_kTe_15,p_sc_kTe_20,p_sc_kTe_30,p_sc_kTe_50,p_sc_kTe_80,p_sc_kTe_120,p_sc_kTe_200
0.03,0.05635769636840826,0.05635717364710591,0.05635666719706578,0.056355700242994855,0.05635393190241922,0.05635162647319325,0.05634905249797795,0.05634504077739533
0.05,0.09057863564449908,0.09057782143944759,0.0905770325785632,0.0905755264225031,0.09057277199955371,0.09056918098306688,0.0905651716599658,0.09055892282693434
0.08,0.13805138747468104,0.13805019465056811,0.138049038955395,0.13804683240818338,0.13804279711980416,0.13803753619128323,0.13803166241566767,0.13802250765380242
0.13,0.2091455125147773,0.20914380255524756,0.2091421458200936,0.2091389826427703,0.2091331978757246,0.20912565607273792,0.209117235687593,0.20910411174740318
0.2,0.29578424219856636,0.29578198514536214,0.29577979834295376,0.2957756231101093,0.2957679874892579,0.2957580326178323,0.2957469179913349,0.29572959469126014
0.32,0.41809674152463217,0.41809389230631666,0.41809113176471946,0.4180858610849283,0.418076222073554,0.4180636552035777,0.41804962414535984,0.4180277549913938
0.5,0.5568524914322297,0.5568492730329511,0.5568461547924645,0.5568402011390992,0.5568293130315669,0.556815117503521,0.5567992678267955,0.5567745636809325
0.8,0.711428089997679,0.7114249309660674,0.7114218702341439,0.7114160263501615,0.7114053388818878,0.7113914047272181,0.7113758465887309,0.7113515962040229
1.25,0.8428144799460136,0.842811935120651,0.8428094694697529,0.8428047617439991,0.8427961519941709,0.8427849264975084,0.8427723923754179,0.8427528547838102
2.0,0.9397230027296379,0.9397215245277155,0.9397200923034711,0.939717357690668,0.9397123563661224,0.9397058353557599,0.9396985538459119,0.9396872031008284
3.2,0.9859151944673153,0.9859146696308124,0.9859141611121884,0.985913190155876,0.9859114143158293,0.9859090987545316,0.9859065129805532,0.9859024817945147
5.0,0.998243509974171,0.9982434118717354,0.9982433168176602,0.9982431353182435,0.9982428033464418,0.9982423704474761,0.9982418869867055,0.9982411331784715
8.0,nan,nan,nan,0.9999376224587265,0.9999376042711372,0.9999375805511471,0.9999375540566603,0.9999375127377105
10.0,nan,nan,nan,nan,nan,0.9999928882367942,0.9999928845186765,0.9999928787193334
